,0_n,0_l,0_s,0_p,1_n,1_l,1_s,1_p,2_n,2_l,2_s,2_p,3_n,3_l,3_s,3_p,4_n,4_l,4_s,4_p,5_n,5_l,5_s,5_p,6_n,6_l,6_s,6_p,7_n,7_l,7_s,7_p,8_n,8_l,8_s,8_p
454,UBE2K,0.1666985,0.032682262,0.973927967542384,VTI1A,0.4305464,0.36375582,0.7160403593672007,TMEM102,0.25863448,0.11184932,0.9109428787804215,RP11-147L13.8,1.5112147,0.0737855,0.9411810676938396,PDZD4,0.87076753,0.11292476,0.9100902071192013,KDM3B,1.3740543,1.0490404,0.29415952412909274,TBC1D15,0.80051535,0.41670287,0.676895759132061,MRPL43,0.56506974,1.3186433,0.1872883781743765,CORO1B,0.61437136,0.0106554795,0.9914983182029051
455,MPP6,-0.06366192,0.03215371,0.9743494711795666,TRIM14,0.18673551,0.36372486,0.7160634692245937,ST20,0.5104661,0.1098749,0.9125085888113214,AC009505.2,2.744316,0.0737855,0.9411810676938396,CTC-444N24.11,0.4998455,0.11197261,0.9108451233538182,PPP2CA,0.12585576,1.0308387,0.302616457133824,EIF2B1,0.4791679,0.41470453,0.6783582073445109,UBE2Q1,2.5923676,1.3108442,0.18991041447627066,UBE2K,0.00942908,0.008249404,0.993418002904279
456,SNTA1,1.2625927,0.031625155,0.9747709819802542,C17orf59,0.21613196,0.3633226,0.7163639210338866,GNG11,-0.18728313,0.10984026,0.912536060458095,GOLGB1,0.3874942,0.073085584,0.9417380131706689,RHBDD3,0.52400625,0.11197261,0.9108451233538182,NME3,0.11248317,1.0147437,0.31022800979153864,KIAA0196,0.8817212,0.4145468,0.6784737154839802,UBA5,1.6113559,1.3099668,0.19020707751646004,PAFAH1B1,-1.0110261,0.00601519,0.995200601625026
457,RP1-28O10.1,1.4511437,0.03144897,0.9749114871520412,CAMK2G,0.13945955,0.3574431,0.720760129328031,WDYHV1,0.31047767,0.107658006,0.9142669835664361,NBR1,0.22229005,0.07286456,0.9419138966215932,ZNF747,0.35192814,0.11014449,0.9122947875708152,NFU1,0.28094602,1.0070332,0.31391878101680326,TRIT1,1.5253645,0.41412607,0.6787817741156947,STT3A,2.1433256,1.3038249,0.192293280751912,FAM32A,-0.042890277,0.004124702,0.9967089734570288
458,CAMK2N1,1.1578065,0.03144897,0.9749114871520412,SPEN,0.4353145,0.35700986,0.7210844279357493,R3HDM2,0.12911257,0.10686131,0.9148990096491076,URGCP,0.3672202,0.07205413,0.9425588267778305,C1GALT1C1,0.30376145,0.10999215,0.9124156061656696,PTGS1,2.0732863,1.0044632,0.31515543106396593,ZNF32,0.32935217,0.4115493,0.6806698027647828,CISD1,1.5229727,1.2960258,0.19496660771150587,CHIC2,0.03103014,0.0006874503,0.9994514940640745
459,RPS6KL1,0.5433671,0.03144897,0.9749114871520412,NDUFS1,0.39263508,0.3568861,0.7211770938965498,NME3,0.07244665,0.105094716,0.91630065016266,MADD,0.5879814,0.07205413,0.9425588267778305,RP11-385F7.1,1.5089846,0.10778316,0.9141677018961916,GPR35,2.1496794,1.0041261,0.3153178517843047,NKAP,0.56423545,0.41033977,0.6815567117685748,STAMBP,1.0255309,1.2939785,0.19567285179272742,CIAPIN1,-1.0980353,0.00017186257,0.999862873505893
460,TEX2,0.31690985,0.031390242,0.9749583223825226,TANGO6,0.98515666,0.35673136,0.7212929321040477,CCL4L1,0.38036183,0.10402091,0.917152755180128,GDF11,0.52196914,0.07058063,0.9437315232554364,ACOT13,0.35134563,0.10763082,0.9142885515598409,TCTA,0.84303206,0.9884945,0.32291051102996726,TNFRSF1B,0.29001343,0.4057121,0.6849541583348867,UIMC1,1.192974,1.2915412,0.19651606138465927,NKX3-1,-19.656517,-0.002406076,0.9980802309253728
461,RP11-496I9.1,0.4755846,0.031331513,0.9750051576993445,RCE1,0.2675786,0.35642192,0.7215246276981715,OTOF,2.3471866,0.1035706,0.91751011792574,SPATA6,0.5713713,0.06811252,0.9456960618232122,RP1-315G1.3,1.2297045,0.107554644,0.9143489771349288,PDK2,0.9085886,0.9863457,0.32396349013048176,RP11-139H15.1,0.35083976,0.40550175,0.6851087398874471,IGFBP7,0.90424424,1.2877392,0.19783677794798904,RP11-231D20.2,-19.736895,-0.002406076,0.9980802309253728
462,ARPP19,0.12916075,0.03115533,0.9751456641662394,RP5-827C21.4,0.39318785,0.35450333,0.7229617100425925,IPO9-AS1,1.9474742,0.10336277,0.9176750602034073,CHERP,0.18467955,0.0670074,0.9465758137226348,PROK2,1.020687,0.10709761,0.9147115409693081,LAT2,0.21942769,0.98592436,0.3241702186039608,TYW5,1.5598581,0.3917764,0.6952234205465252,DPH6,1.839234,1.2856919,0.1985506171583734,RP11-816J6.3,-19.643318,-0.002406076,0.9980802309253728
463,RP11-219B17.1,-0.05702967,0.031096602,0.9751924998268096,CLSTN3,0.96020204,0.3543486,0.7230776464467709,ZNF436,1.0720466,0.10329349,0.9177300417503949,NNT-AS1,0.22434062,0.066012785,0.9473676461653249,RFC1,0.19265088,0.106831014,0.9149230447397458,HIST1H2AC,0.7286091,0.97454834,0.32978435120084615,EDC3,1.3822883,0.38998845,0.6965450911240113,LMAN2,0.4228717,1.2834496,0.19933459985511714,RGPD8,-19.759817,-0.002406076,0.9980802309253728
464,NT5M,-0.10365888,0.031096602,0.9751924998268096,MRM1,1.5849835,0.35403916,0.723309538322276,RSPH9,1.5018371,0.10322421,0.91778502369083,IP6K1,0.34954292,0.06185015,0.9506821667156253,PWP1,0.2169309,0.106831014,0.9149230447397458,MARCH5,0.38073424,0.97315794,0.3304748159254218,CXXC1,0.5395601,0.3893574,0.6970117833864569,PGRMC2,1.6524231,1.2830597,0.19947117523984803,RP11-76E12.1,-19.733488,-0.002406076,0.9980802309253728
465,USP38,0.46739784,0.02780782,0.9778154286080801,GBP4,0.25201398,0.35376066,0.7235182627334962,FAM120C,0.17043452,0.10284318,0.91808743138443,NUDT12,2.3006032,0.061076563,0.9512982353145442,KIF3A,0.5281879,0.106259726,0.9153762873707645,NIT1,0.606706,0.96515256,0.33446840352989327,DENND6A,1.3972226,0.38925222,0.6970895765841052,FBXO25,1.3360171,1.2809149,0.20022356199227165,JMJD7,-19.636333,-0.002406076,0.9980802309253728
466,ZRANB3,-0.065389074,0.025899153,0.9793377758891635,ZNF799,1.8132744,0.3535131,0.7237038128085641,GNPAT,0.1046139,0.10218504,0.9186097998335143,FRMPD3,2.7408214,0.061076563,0.9512982353145442,RBM4,0.22464383,0.10424117,0.9169779640416859,MPV17,0.5820644,0.96439415,0.33484834994452517,CHI3L2,0.6181038,0.38919964,0.6971284743773065,TMED4,0.35864574,1.2804275,0.20039484756862158,AL161784.1,-19.668966,-0.002406076,0.9980802309253728
467,PDZD4,0.11521368,0.025840424,0.9793846185657678,C17orf62,0.13544598,0.3534512,0.723750202865085,PSMB6,0.050706428,0.09972567,0.9205621173694649,RP11-977G19.12,2.5154383,0.061076563,0.9512982353145442,C14orf1,0.22517392,0.10408883,0.9170988590595746,ISY1,0.33210784,0.9604336,0.3368370307451243,CD2AP,1.0665351,0.38904187,0.6972451725333237,ACTL6A,1.2731699,1.27916,0.2008406906101995,CTD-2639E6.9,-19.980043,-0.002406076,0.9980802309253728
468,TRIM16L,-0.086406656,0.025752332,0.9794548827139113,ZNF836,0.39967504,0.35342026,0.7237733982739016,FEM1B,0.2447299,0.09847867,0.9215522085540252,RP4-773N10.4,2.7890007,0.061076563,0.9512982353145442,PCNA,0.16128293,0.10218453,0.918610207639065,PELI1,0.5679168,0.958032,0.33804662439411426,MDP1,0.86616784,0.38525558,0.7000480714122017,GTF2B,0.68435013,1.2778927,0.20128725702132877,FAM225A,-19.712837,-0.002406076,0.9980802309253728
469,ZNF425,1.5118647,0.02481268,0.9802043767697628,YEATS2,0.7364266,0.35292515,0.7241445593019844,CLEC1B,-0.0047871065,0.09827083,0.9217172356142601,AC068580.6,2.572927,0.061076563,0.9512982353145442,C14orf166,0.07391082,0.10066109,0.919819498530333,EFCAB14,0.66721326,0.9558832,0.33913125417359535,LSM14A,0.32646093,0.3826262,0.7019969382751667,TCF12,1.6879067,1.2765279,0.2017689841923631,RP11-516C1.1,-20.06536,-0.002406076,0.9980802309253728
470,KCNH3,1.1747438,0.02481268,0.9802043767697628,C18orf21,0.20290232,0.35218248,0.7247014224354217,WARS2,0.015291274,0.097855166,0.9220472998393211,CCDC62,2.7372313,0.061076563,0.9512982353145442,CLSTN3,0.48276922,0.09799508,0.9219362021813181,KLF13,0.30415785,0.9503637,0.3419274841450015,TAF10,0.54514885,0.38062787,0.7034793896755549,PBRM1,1.3732618,1.2758454,0.202010162754505,RP11-535M15.1,-19.676723,-0.002406076,0.9980802309253728
471,PLIN5,1.6238278,0.02481268,0.9802043767697628,PRDX4,0.21831775,0.34754077,0.7281851066829785,MIS18BP1,0.12144626,0.09622713,0.9233401801278491,BEND2,2.6773634,0.061076563,0.9512982353145442,RP11-727F15.9,0.23639698,0.09673824,0.9229342694967986,STK38,0.18692103,0.9486784,0.3427842259916162,DHX9,0.4233957,0.37862957,0.7049629690827212,LILRA4,6.196392,1.2697036,0.20419023177977302,MNS1,-19.758736,-0.002406076,0.9980802309253728
472,RAB12,1.4848108,0.02481268,0.9802043767697628,FEM1B,0.5008672,0.34627202,0.7291382952582043,FYB,0.023940003,0.09570755,0.9237528442980537,KRTAP5-AS1,2.0781696,0.061002888,0.951356910038361,ZNF841,1.2022122,0.09551949,0.9239022082591876,MLEC,0.49279615,0.93650174,0.3490149030176223,ARL2,0.3105848,0.37636828,0.706643110326959,RFC2,1.4264936,1.2657065,0.205618171618402,MYZAP,-19.644722,-0.002406076,0.9980802309253728
473,RP11-77H9.2,0.8807178,0.02481268,0.9802043767697628,YIPF5,0.18319468,0.34500328,0.7300919026875001,EID2,0.326144,0.09484158,0.9244406634640068,CTD-2541M15.1,1.3355558,0.061002888,0.951356910038361,TCP1,0.07169568,0.0954814,0.9239324581687066,IDI1,0.16668144,0.92992896,0.35240787876828605,UBAP2,1.3452532,0.37431738,0.7081681966623277,SIVA1,0.4198831,1.265609,0.2056530898397012,YJEFN3,-19.645191,-0.002406076,0.9980802309253728
474,RP11-178L8.7,1.1070344,0.02481268,0.9802043767697628,PHACTR4,0.431217,0.3445391,0.7304408878392799,VPS25,0.030795401,0.09452982,0.9246882922199815,TACR2,1.8233732,0.061002888,0.951356910038361,AP003419.16,0.9913625,0.09521481,0.9241442106130149,RNF14,0.92990905,0.92895985,0.35290988526042577,SYTL2,1.225896,0.37331823,0.7089116120799577,ZCCHC10,1.3433404,1.2593697,0.20789682657979625,RP11-317G6.1,-19.7555,-0.002406076,0.9980802309253728
475,OMG,1.7728211,0.02481268,0.9802043767697628,PDXDC1,0.48037744,0.3410114,0.7330949942906406,CTC-378H22.1,0.3824533,0.09418344,0.9249634438401337,HRASLS,1.9419926,0.061002888,0.951356910038361,NAA25,0.6260281,0.09315816,0.9257779090221405,HVCN1,-0.030590832,0.91947985,0.3578446534823816,NCOA4,0.2239235,0.3722139,0.7097336044040415,MED7,1.9882698,1.2585897,0.2081785371382313,CELF6-1,-19.726976,-0.002406076,0.9980802309253728
476,KRTAP5-AS1,1.2361462,0.02481268,0.9802043767697628,ANTXR2,0.38279623,0.3409495,0.7331415861630832,GLYCTK,0.22516787,0.09362921,0.9254037050903985,SCIN,1.9052806,0.061002888,0.951356910038361,PDE6B,0.38703948,0.09254879,0.9262620282350609,PDIA3,0.13178001,0.9174574,0.35890299776799517,UCK1,0.80882806,0.37210873,0.7098119070263201,PPIE,0.49092048,1.2571274,0.2087074902026007,CYP46A1,-20.09097,-0.002406076,0.9980802309253728
477,RBL1-1,1.5434117,0.02481268,0.9802043767697628,DUSP10,0.47063997,0.34085667,0.733211475815114,KLF13,0.15301487,0.09359457,0.9254312221785039,RP11-211G3.2,1.398006,0.061002888,0.951356910038361,SNAPIN,0.10978399,0.09193942,0.9267461747515715,MVB12A,0.6026098,0.91657263,0.3593666415076937,DNAJC10,0.67399395,0.37189835,0.7099685214637801,ZMAT5,0.7374781,1.2548852,0.2095204421511596,RP11-242F4.2,-19.634018,-0.002406076,0.9980802309253728
478,GLS2,0.54672825,0.024753952,0.980251220735336,ACADM,0.12334996,0.33952606,0.7342134702607837,MYL9,-0.022459228,0.0905117,0.9278805964648936,RP11-178L8.7,1.9525628,0.061002888,0.951356910038361,RP11-367G6.3,0.19278291,0.0917109,0.9269277366980893,RBM7,0.31454772,0.9152243,0.3600738695563227,TBPL1,0.49093318,0.37163544,0.7101643067396006,PACSIN2,1.1365709,1.2543002,0.20973289320638566,RP11-382A18.2,-19.633093,-0.002406076,0.9980802309253728
479,CLECL1,0.54626733,0.024753952,0.980251220735336,FRY-AS1,1.5853289,0.33723614,0.735938892001762,CTC-428G20.6,1.8808689,0.08961108,0.9285962740515905,CTD-2012J19.3,1.7440364,0.061002888,0.951356910038361,RABIF,0.3507259,0.091330044,0.9272303483934203,TMX2,0.12487225,0.9136233,0.3609148370332542,PRPF31,0.24430385,0.36821726,0.7127112521261476,C16orf80,0.8110055,1.2531303,0.21015826314767816,RP11-503E24.3,-19.694952,-0.002406076,0.9980802309253728
480,SERPINE1,0.68229014,0.024753952,0.980251220735336,PLD6,0.8993621,0.33599836,0.7368721079067664,HOMER2,1.3670962,0.08954181,0.928651328573454,NPPA-AS1,1.6455246,0.061002888,0.951356910038361,SYNGR3,22.80343,0.09056832,0.9278356033191334,U2SURP,0.40128475,0.9132862,0.3610920396947902,PARP1,0.29073703,0.3650094,0.7151043805596813,KIAA0196,1.7861146,1.2517655,0.21065531683453786,CTD-2506J14.1,-19.889385,-0.002406076,0.9980802309253728
481,ACVR2B,0.8928486,0.024753952,0.980251220735336,PDCD1,0.93366736,0.3351319,0.73752559009547,RP11-1000B6.3,1.5933053,0.08954181,0.928651328573454,CCDC163P,1.5583458,0.060929213,0.9514155850258853,PRSS22,22.786453,0.09056832,0.9278356033191334,NBR1,0.5829171,0.906292,0.36478130130178255,GIT2,0.34442455,0.36495683,0.7151436355898028,VTI1A,1.1672088,1.251668,0.21069085318593073,LINC00618,-19.678186,-0.002406076,0.9980802309253728
482,RP4-773N10.4,0.503643,0.024753952,0.980251220735336,ZMAT3,0.3541726,0.33476058,0.7378057120129439,ATP8B3,1.4980129,0.08940325,0.9287614386414774,NCKAP1,1.0815288,0.060929213,0.9514155850258853,CTC-548K16.1,22.868973,0.09056832,0.9278356033191334,FRAT1,1.5027711,0.9039326,0.3660311650294079,NUPL2,0.386494,0.36222228,0.7171859331288593,PEX16,0.5564084,1.247671,0.2121515795709501,RAB6C,-19.69995,-0.002406076,0.9980802309253728
483,SOX13,0.30807114,0.024753952,0.980251220735336,NOL11,0.1319533,0.3342345,0.7382026109995552,PLA2G4C,0.9961791,0.08940325,0.9287614386414774,RAB12,1.1805071,0.060929213,0.9514155850258853,CTC-498J12.3,22.775928,0.09056832,0.9278356033191334,SHOC2,0.4701835,0.9010675,0.3675524441590078,ARIH2OS,0.77557164,0.36148605,0.7177361288226153,UBE2E1,0.46498713,1.2458186,0.21283097705091814,TUBB8,-19.799229,-0.002406076,0.9980802309253728
484,NUDT12,0.41884276,0.024695223,0.9802980647690088,DHX9,0.108480915,0.3329967,0.7391367660985122,UCK1,0.13830502,0.08912614,0.9289816628673704,PPT2-EGFL8,0.2810367,0.060929213,0.9514155850258853,KLRC3,22.920765,0.09056832,0.9278356033191334,ASXL2,0.8579872,0.8996771,0.3682921293819762,CCDC22,0.50555164,0.360855,0.7182078417001831,SAAL1,1.7727011,1.2449412,0.21315334467227565,TMEM56,-19.940125,-0.002406076,0.9980802309253728
485,TACR2,0.49247146,0.024695223,0.9802980647690088,NFAT5,0.31364548,0.32535335,0.7449136565796826,DRAXIN,0.7894766,0.08898758,0.929091777021046,RP11-490M8.1,1.4266621,0.060929213,0.9514155850258853,RP11-242F4.2,22.698652,0.09056832,0.9278356033191334,C4orf33,1.5971817,0.89710695,0.369661863616479,PEX19,0.5707931,0.3604869,0.7184830571674085,CORO1C,1.4545119,1.2447463,0.21322502976265567,AARD,-20.540213,-0.002406076,0.9980802309253728
486,SYTL4,0.016136857,0.024695223,0.9802980647690088,TMEM18,0.17451519,0.32529145,0.7449604921338289,YEATS2,0.31448254,0.08576616,0.9316523094494189,RP1-111C20.4,0.8495087,0.058276914,0.953528057528858,RP11-76E12.1,22.79843,0.09056832,0.9278356033191334,PPA2,0.24370207,0.89428395,0.37116996936679536,SLC39A1,0.5420671,0.35927737,0.7193875935401275,STUB1,0.21068399,1.2344124,0.21704927583988387,KB-1980E6.3,-19.763071,-0.002406076,0.9980802309253728
487,AC068580.6,0.0917579,0.024695223,0.9802980647690088,STAU1,0.16618185,0.324425,0.7456162888243703,GINM1,0.13763161,0.08417276,0.9329190725386953,LUC7L,0.28496486,0.058240075,0.9535573997581828,PDF,23.028387,0.09056832,0.9278356033191334,UTP6,0.5839539,0.8924301,0.3721624410616,DMAP1,0.4843086,0.3579101,0.720410586274598,ERI3,0.8138919,1.2322676,0.21784913236988201,HBA2,-19.82561,-0.002406076,0.9980802309253728
488,MEIS1,-0.22961578,0.024695223,0.9802980647690088,SNRNP35,0.19383986,0.32349667,0.7463191327181151,SETD5,0.07285752,0.0835839,0.9333872672844733,LILRA4,0.5928813,0.05805589,0.9537041118482841,CTD-2033C11.1,22.868973,0.09056832,0.9278356033191334,COMMD10,0.46407485,0.88012713,0.37879045082746365,C1orf50,0.5537367,0.35759458,0.720646732692069,CCDC94,1.0976149,1.2318777,0.21799478819443419,ARHGDIG,-20.204924,-0.002406076,0.9980802309253728
489,LRRC24,0.1761833,0.024695223,0.9802980647690088,CPSF3L,0.12640372,0.3211139,0.7481240636979039,CHPF2,0.3877805,0.083098955,0.9337728567387567,SMC2,0.24422218,0.057245463,0.9543496636155829,HBA2,22.890856,0.09056832,0.9278356033191334,DERL1,0.15920268,0.879158,0.37931558876290494,ATXN1L,0.8717277,0.356648,0.7213553317377177,TASP1,1.4224262,1.2221287,0.22165895915328415,PDIA2,-19.691471,-0.002406076,0.9980802309253728
490,MEG3,-0.103365324,0.024695223,0.9802980647690088,ALKBH7,0.08185138,0.32068068,0.7484523816663962,DMAP1,0.058238633,0.082440816,0.934296181549735,NSMAF,0.07803996,0.056471877,0.9549659000654778,AC015849.2,22.791378,0.09056832,0.9278356033191334,HELQ,0.88686615,0.8615462,0.3889372687707171,KLHL24,0.6589463,0.3537557,0.723521975578759,SRPR,0.54743797,1.2181317,0.22317395378706106,SYNGR3,-19.738472,-0.002406076,0.9980802309253728
491,MADD,0.043330804,0.023638116,0.9811412688361022,PRKACB,0.2082733,0.31996897,0.7489918601879859,F11R,0.81324506,0.082059786,0.9345991720647195,C9orf3,0.44233227,0.05532991,0.9558756315406141,CCDC40,22.885252,0.09056832,0.9278356033191334,RNF25,1.1947535,0.85813344,0.3908187959493634,NDUFA2,0.12321809,0.35317725,0.7239555710122976,TNFRSF17,4.2319736,1.2168642,0.22365586136899407,RP11-304L19.2,-19.67721,-0.002406076,0.9980802309253728
492,PDCD1,0.16171983,0.021700084,0.9826871970038709,PTGES2,0.18167666,0.3192263,0.7495549252932958,PKN2,0.4704151,0.08053567,0.9358112284256768,ZNF799,0.30445322,0.055108886,0.9560517152765861,LINC01132,22.747372,0.09056832,0.9278356033191334,ENHO,2.549111,0.85606885,0.3919596829994366,IFI44,0.32149613,0.35301948,0.7240738396932376,PGM2,1.7368888,1.2160844,0.2239527895446538,PRSS22,-19.721548,-0.002406076,0.9980802309253728
493,AHSA1,0.03767536,0.021582628,0.9827808917680974,SYVN1,0.22881263,0.31743148,0.7509162166044292,RP11-231D20.2,22.477072,0.07956578,0.9365826146615164,EIF5B,0.17860319,0.05437214,0.9566386765051369,CST11,22.72648,0.09056832,0.9278356033191334,GLTP,0.4553603,0.8462518,0.3974123094631782,FNTA,0.24546568,0.35265136,0.7243498255601926,TMEM138,0.25375146,1.2153045,0.22424999947361002,ACTN1-AS1,-19.636333,-0.002406076,0.9980802309253728
494,PEMT,0.28369692,0.021435807,0.9828980105572391,NOC4L,0.3505784,0.31313017,0.7541817716011665,RAB6C,22.440037,0.07956578,0.9365826146615164,TARSL2,0.11717211,0.0513883,0.9590161066311045,CCDC38,22.711742,0.09056832,0.9278356033191334,NFATC1,0.6712951,0.84267044,0.39941279685609077,HIST1H1B,2.8482845,0.3512841,0.7253752293545112,DHX9,0.5508209,1.2082852,0.22693758190201874,RP11-65N13.8,-19.944988,-0.002406076,0.9980802309253728
495,RP5-827C21.4,0.13235399,0.020701705,0.9834836099814617,PGM2,0.4499491,0.31241843,0.754722541080741,AC017002.2,22.448626,0.07956578,0.9365826146615164,FASTKD1,0.05945319,0.051204115,0.9591628737402489,RP11-516C1.1,23.131496,0.09056832,0.9278356033191334,SLA,0.2684026,0.8384992,0.4017503979727973,GUCD1,0.5412382,0.3474978,0.7282173748712275,SIK1,1.3247484,1.2080902,0.22701256344713794,AC017002.2,-19.708519,-0.002406076,0.9980802309253728
496,TRAPPC12-AS1,0.3347333,0.019879509,0.9841394918871306,SUMO3,0.043261707,0.31145915,0.7554515945221085,CTD-2639E6.9,22.720877,0.07956578,0.9365826146615164,VMAC,0.10453173,0.0510936,0.9592509346704645,POLR2E,0.2041307,0.09041598,0.9279566593262021,C1orf35,0.3485278,0.83483356,0.40381141515392516,ZNF468,1.046794,0.3457624,0.7295212776291824,BLM,3.8445113,1.2077978,0.2271250688855161,RP13-143G15.4,-19.919655,-0.002406076,0.9980802309253728
497,CTB-113I20.2,1.1081743,0.01982078,0.984186341010146,DIS3,0.4385297,0.31006664,0.7565102853988457,PDIA2,22.431538,0.07956578,0.9365826146615164,XXbac-BPG299F13.17,0.13525212,0.048588652,0.9612471137135301,AKAP8,0.17353101,0.08908297,0.9290159702091297,MZT1,0.35352322,0.8285557,0.40735587163613585,CHERP,0.6502961,0.34560466,0.7296398531029521,ELP5,0.6971902,1.2069204,0.2274628237108951,CCDC38,-19.647068,-0.002406076,0.9980802309253728
498,CTNND1,0.49908715,0.016649455,0.986716270398698,N4BP2L1,0.06693083,0.30808616,0.7580167661738066,CTC-297N7.1,22.395548,0.07956578,0.9365826146615164,HIST1H4I,2.2400396,0.048293952,0.9614819745225359,KLRC1,-0.03754602,0.08889254,0.9291673106481058,FADS1,1.6878434,0.82615405,0.40871669530224897,MIS18BP1,0.47545165,0.34486842,0.7301932907576765,TIGIT,1.0077617,1.2051655,0.22813940705387492,LINC01132,-19.68259,-0.002406076,0.9980802309253728
499,DMTN,-0.08516612,0.015298706,0.987793874960171,BOLA1,0.24432388,0.30650797,0.7592179015850972,RP3-337O18.9,22.702713,0.07956578,0.9365826146615164,TMPRSS11E,2.4058197,0.048293952,0.9614819745225359,FAM98A,0.97837204,0.087749965,0.9300754068908205,PPP1R8,0.39219242,0.8206346,0.4118544416352288,RBM4,0.3148898,0.34434256,0.7305886894260019,PLEKHA3,1.0756636,1.2003886,0.22998847693644453,CHRM3,-19.666557,-0.002406076,0.9980802309253728
500,SPATA7,1.215684,0.013507495,0.9892229063287181,DPY19L4,1.3148865,0.30387768,0.7612210840656308,RP11-304M2.5,22.470778,0.07956578,0.9365826146615164,SUOX,2.2622159,0.048293952,0.9614819745225359,SLC20A2,0.40338162,0.08698825,0.9306808550426574,ELP5,0.3309438,0.8152415,0.41493409040818785,FOPNL,0.39870217,0.34350115,0.7312214761949438,TLE4,0.59931445,1.1989262,0.23055664367984874,RP11-302F12.10,-19.786238,-0.002406076,0.9980802309253728
501,PRKAR2B,0.29551846,0.013272582,0.9894103229417588,TMX2,0.14053227,0.29994768,0.7642170549877292,RP11-700J17.2,22.533873,0.07956578,0.9365826146615164,NEDD4,1.7378378,0.048293952,0.9614819745225359,GFER,0.3127303,0.08496969,0.9322854857413806,PACSIN2,0.64590764,0.8108175,0.41747049766442024,ATAD1,0.63442487,0.34050366,0.733477262858794,GLTP,1.3602403,1.1987312,0.23063247456343927,RP11-532F6.5,-20.009312,-0.002406076,0.9980802309253728
502,CTD-2368P22.1,0.32047746,0.013272582,0.9894103229417588,USP20,0.3014105,0.29917407,0.7648072306428967,FAM225A,22.452955,0.07956578,0.9365826146615164,CUL4B,0.24474593,0.048257116,0.9615113323591067,DLST,0.27532896,0.08466501,0.9325277182169547,LRRK2,1.4608994,0.8001998,0.42359502972895424,TTC1,0.29227072,0.33976746,0.7340316687880128,RELT,1.1014656,1.1970739,0.2312777528813853,CCDC40,-19.820023,-0.002406076,0.9980802309253728
503,PLCL1,0.13466209,0.013272582,0.9894103229417588,DENND1C,0.19818963,0.29750305,0.7660824758563967,CELF6-1,22.467129,0.07956578,0.9365826146615164,IFT81,1.2250583,0.048220277,0.961540690247866,SERAC1,0.83334893,0.082951136,0.9338903916832935,SIRT6,0.8098538,0.7988937,0.42435205903049456,PMF1,0.2336778,0.3386631,0.7348635376597534,CLPX,1.424618,1.1928818,0.23291564921063157,C11orf85,-19.704727,-0.002406076,0.9980802309253728
504,CTB-152G17.6,1.0579687,0.013272582,0.9894103229417588,BTN3A1,0.12542833,0.29577014,0.7674056221195835,RP11-203B7.2,22.697714,0.07956578,0.9365826146615164,RP11-308N19.1,1.0940614,0.048220277,0.961540690247866,SLC2A13,0.51416737,0.08180856,0.9347989485402431,PTGES2,0.39432698,0.79885155,0.42437649249179366,TIMM17A,0.38238013,0.33729583,0.7358939015793822,FASTKD1,2.8549526,1.1905421,0.2338333935116641,AC096559.1,-19.693457,-0.002406076,0.9980802309253728
505,SMYD4,0.036286492,0.01318449,0.9894806043228564,SDCCAG8,0.16133556,0.29527503,0.76778378866112,MNS1,22.498968,0.07956578,0.9365826146615164,RP13-314C10.5,1.6640854,0.048220277,0.961540690247866,CHPF2,0.3178903,0.08066598,0.9357075903263552,JAZF1,0.8415368,0.79784036,0.42496314224855436,DYNLT1,0.18469894,0.33724326,0.7359335404635384,SYVN1,1.4459205,1.1889822,0.23444664514018843,RP11-783K16.13,-19.95341,-0.002406076,0.9980802309253728
506,WBP2NL,0.024784042,0.013155125,0.9895040314680557,HENMT1,0.22975059,0.2888385,0.7727049542664648,RP1-111C20.3,22.394123,0.07956578,0.9365826146615164,TEX12,1.1868048,0.048220277,0.961540690247866,PPIE,0.121533975,0.080627896,0.9357378798348069,PGRMC1,0.43582812,0.7878968,0.43075705002488995,AAR2,0.90566844,0.3366648,0.73636961456537,ANTXR2,2.1088362,1.1858627,0.23567656421162064,MYBPC3,-19.736895,-0.002406076,0.9980802309253728
507,PRKD2,-0.047575794,0.01233293,0.9901599951339884,NAA25,0.54414696,0.28791016,0.7734154978153884,RP11-1136J12.1,22.440037,0.07956578,0.9365826146615164,NEUROD2,0.6897538,0.0481466,0.9615994061817916,ANKRD54,0.59298944,0.07952341,0.9366163158632415,CXCL10,4.3402286,0.78039706,0.43515719035997813,CPSF3L,0.3464896,0.33640185,0.7365678581509079,MVD,0.9792575,1.1846927,0.2361389588406878,CGN,-19.672836,-0.002406076,0.9980802309253728
508,NNT-AS1,0.0890858,0.0117456475,0.9906285447078882,BNIP2,0.07004174,0.2871675,0.7739840694376176,KCNG2,22.467129,0.07956578,0.9365826146615164,RP11-215G15.5,0.9025872,0.0481466,0.9615994061817916,NELFB,0.64355534,0.07929489,0.9367980709169904,GFI1B,3.7363465,0.77963865,0.4356035879888138,CLPX,0.66877025,0.33598116,0.7368850843574408,VTI1B,0.4761745,1.1836203,0.23656338393864795,RP11-285J16.1,-19.717693,-0.002406076,0.9980802309253728
